# ----------------------------------------
# Eventos: Nome do evento
# Conta: Innevo
# Propriedade: Indicadores Econômicos Hoje
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260610
Nome do evento,Contagem de eventos,Total de usuários,Contagem de eventos por usuário ativo,Receita total
page_view,635,433,1.466512702078522,0
session_start,539,433,1.2448036951501156,0
first_visit,434,433,1.002309468822171,0
user_engagement,409,268,1.5551330798479088,0
scroll,128,95,1.3473684210526315,0
click,1,1,1,0

# Todos os usuários
# Data de início: 20250724
# Data de término: 20251231
Nome do evento,Contagem de eventos,Total de usuários,Contagem de eventos por usuário ativo,Receita total
page_view,171,138,1.2391304347826086,0
session_start,145,138,1.0507246376811594,0
first_visit,138,138,1,0
user_engagement,89,70,1.289855072463768,0
scroll,30,28,1.0714285714285714,0
click,1,1,1,0
