Top consultas,Cliques,Impressões,CTR,Posição
indicadores econômicos hoje,3,110,2.73%,13.39
cdi abril 2026,1,6,16.67%,11.5
cdi de maio 2026,1,2,50%,17
taxa referencial tr abril 2026 valor,0,89,0%,8.44
incc ultimos 10 anos,0,83,0%,7.18
taxa referencial tr abril 2026 valor mensal,0,59,0%,9.34
cdi hoje,0,59,0%,70.44
taxa referencial tr abril 2026 banco central,0,57,0%,7.95
incc-di hoje,0,51,0%,17.31
tr taxa referencial abril 2026 banco central,0,36,0%,7.92
tabela ipa-m,0,35,0%,13.74
taxa tr atual brasil 2026,0,33,0%,8.97
taxa referencial tr atual 2026,0,33,0%,9.18
inflação hoje,0,33,0%,49.09
taxa cdi hoje,0,32,0%,69.62
tr taxa referencial abril 2026 valor,0,31,0%,8.71
ipc fipe,0,30,0%,34.93
tr taxa referencial valor atual 2026,0,29,0%,10.76
taxa do cdi,0,28,0%,84.25
taxa referencial tr atual brasil 2026,0,27,0%,8.15
cdi mensal,0,27,0%,76.81
taxa cdi,0,26,0%,85.23
tabela de igpm 2026,0,25,0%,8.2
ipa-m,0,25,0%,9.56
inpc hoje,0,25,0%,39.32
incc grafico,0,24,0%,5.54
tr taxa referencial atual 2026,0,24,0%,8.75
"taxa cdi abril 2026 14,65",0,24,0%,9.25
cdi atual,0,22,0%,68.5
igpm,0,22,0%,72.64
tr taxa referencial abril 2026 valor mensal,0,21,0%,10.43
incc 10,0,21,0%,18.14
tr acumulada 12 meses abril 2026 banco central,0,20,0%,8.7
cdi atual brasil maio 2026,0,20,0%,9
selic acumulada,0,20,0%,59.6
cdi de abril 2026,0,19,0%,9.58
cdi taxa,0,19,0%,86.05
taxa cdi hoje abril 2026 brasil,0,18,0%,9.11
valor cdi hoje,0,18,0%,64.17
valor do cdi hoje,0,18,0%,66.89
banco central tr abril 2026 taxa referencial,0,17,0%,5
historico cdi,0,17,0%,61.06
valor do cdi,0,17,0%,71.12
"taxa cdi abril 2026 14,65%",0,15,0%,8.33
ipa m,0,15,0%,12.87
igpm mes de abril 2026,0,15,0%,13
ipca hoje,0,15,0%,46.47
banco central cdi taxa 2026,0,14,0%,9.07
tr hoje,0,14,0%,50.43
cdi hj,0,14,0%,68.36
taxa referencial tr atual abril 2026 banco central,0,13,0%,7.69
taxa referencial tr hoje abril 2026 valor,0,13,0%,9
cdi mes abril 2026,0,13,0%,9.92
igp m,0,13,0%,66.46
quanto ta o cdi hoje,0,13,0%,71.54
"cdi hoje abril 2026 14,65%",0,12,0%,8.42
cdi acumulado 12 meses abril 2026,0,12,0%,9.08
taxa referencial tr hoje abril 2026 valor mensal,0,12,0%,9.17
taxa referencial tr maio 2026 valor,0,12,0%,9.33
taxa referencial tr maio 2026 valor mensal,0,12,0%,10
igpm mes maio 2026,0,12,0%,13
incc-10,0,12,0%,22.83
incc di hoje,0,12,0%,27.25
igp-di histórico,0,12,0%,45.58
taxa di hoje,0,12,0%,63.08
indice ipc fipe,0,12,0%,66.25
quanto esta o cdi,0,12,0%,67.92
igp-di,0,12,0%,70.75
cdi valor,0,12,0%,73
valor cdi,0,12,0%,73.83
tabela incc ultimos 10 anos,0,11,0%,7.36
tr taxa referencial 2026 abril valor,0,11,0%,7.91
taxa referencial abril 2026 banco central,0,11,0%,8
cdi atual brasil 2026,0,11,0%,8.55
tr atual brasil 2026,0,11,0%,8.73
igp-m,0,11,0%,62.27
quanto está o cdi hoje,0,11,0%,65.82
taxa do cdi hoje,0,11,0%,72.55
taxa cdi atual abril 2026 brasil,0,10,0%,7.6
taxa cdi abril 2026 brasil,0,10,0%,8
taxa referencial abril 2026,0,10,0%,8.1
"taxa di cetip 28/05/2026 14,40",0,10,0%,9
incc 10 anos,0,10,0%,10
ipc fipe acumulado,0,10,0%,27.6
ipc-fipe acumulado,0,10,0%,41.3
valor da tr,0,10,0%,66.6
qual o valor do cdi hoje,0,10,0%,67
cdi taxa hoje,0,10,0%,68.3
cdi acumulado,0,10,0%,75.1
taxa referencial tr abril 2026,0,9,0%,6.78
banco central tr taxa referencial abril 2026,0,9,0%,6.89
taxa referencial tr atual valor 2026,0,9,0%,8.44
ipca tabela 2026,0,9,0%,12
inpc acumulado 2020,0,9,0%,12.33
igpm mes abril 2026,0,9,0%,12.67
incc hoje,0,9,0%,32.11
igp10,0,9,0%,47.33
igp di acumulado,0,9,0%,50.67
tabela inpc,0,9,0%,52.67
indices economicos,0,9,0%,64.44
selic atual,0,9,0%,69.89
indice igp di,0,9,0%,75.44
cdi atual abril 2026 brasil,0,8,0%,7.38
cdi acumulado abril 2026 brasil,0,8,0%,8
valor atual tr taxa referencial brasil 2026,0,8,0%,8.5
índices econômicos hoje,0,8,0%,29.5
igp-di acumulado,0,8,0%,31.88
indices da construção civil,0,8,0%,52.5
tabela do inpc,0,8,0%,56.38
cdi ultimos 12 meses,0,8,0%,64.5
tabela igpm aluguel,0,8,0%,66.5
tabela selic acumulada,0,8,0%,67.5
cdi 2025,0,8,0%,67.88
qual a taxa do cdi hoje,0,8,0%,69.62
selic e cdi hoje,0,8,0%,74.88
tr acumulada 12 meses abril 2026,0,7,0%,8
cdi abril 2026 brasil,0,7,0%,9.14
"taxa di 23/02/2026 14,65",0,7,0%,9.43
"taxa cdi abril 2026 14,65% a.a.",0,7,0%,9.57
incc historico 10 anos,0,7,0%,10
banco central sgs 4390 selic acumulada no mês,0,7,0%,10.29
inpc de hoje,0,7,0%,11.71
tabela do igpm 2026,0,7,0%,12.86
ipc acumulado,0,7,0%,23.43
inpc 2020,0,7,0%,33
ipca e selic hoje,0,7,0%,49.14
taxa referencial hoje,0,7,0%,55.29
cdi 2022,0,7,0%,59
inpc atualizado,0,7,0%,62.43
cdi hoje 2025,0,7,0%,63.43
cotação cdi mensal,0,7,0%,72.14
indice tr,0,7,0%,75.71
histórico incc últimos 10 anos,0,6,0%,9
ipa 10,0,6,0%,9
sgs 12 taxa cdi cetip,0,6,0%,9.17
taxa cdi atual brasil 2026,0,6,0%,9.5
taxa referencial tr atual 2026 brasil,0,6,0%,9.5
taxa referencial tr hoje abril 2026,0,6,0%,9.5
"cdi abril 2026 14,65",0,6,0%,9.83
taxa cdi hoje abril 2026 anualizada,0,6,0%,10.5
igpm tabela 2026,0,6,0%,10.83
taxa cdi hoje abril 2026,0,6,0%,11.33
taxa cdi abril 2026,0,6,0%,12.33
cdi em abril 2026,0,6,0%,14.83
indicadores economicos hoje,0,6,0%,25.5
indices economicos hoje,0,6,0%,33.33
qual o valor da tr hoje,0,6,0%,48.67
taxa cdi mensal banco central,0,6,0%,50.17
cdi hoje 2021,0,6,0%,53.83
ipca atual,0,6,0%,60
cdi novembro,0,6,0%,63.17
taxa selic acumulada,0,6,0%,67.5
