Páginas principais,Cliques,Impressões,CTR,Posição
https://indicadoreseconomicoshoje.com.br/cdi/,7,4091,0.17%,22.84
https://indicadoreseconomicoshoje.com.br/,3,168,1.79%,22.48
https://indicadoreseconomicoshoje.com.br/selic-acumulada/,1,717,0.14%,12.03
https://www.indicadoreseconomicoshoje.com.br/inpc/grafico-variacao-rentabilidade-inpc-2021-mes-a-mes-mensal-acumulado.png,1,1,100%,25
https://indicadoreseconomicoshoje.com.br/tr/,0,2318,0%,11.78
https://indicadoreseconomicoshoje.com.br/igp-m/,0,363,0%,41.12
https://indicadoreseconomicoshoje.com.br/incc-10/index.html,0,273,0%,9.84
https://indicadoreseconomicoshoje.com.br/selic/,0,265,0%,40.59
https://indicadoreseconomicoshoje.com.br/ipca/,0,209,0%,27.56
https://www.indicadoreseconomicoshoje.com.br/inpc/index.html,0,172,0%,32.15
https://www.indicadoreseconomicoshoje.com.br/ipc-fipe/index.html,0,137,0%,35.97
https://www.indicadoreseconomicoshoje.com.br/incc-di/index.html,0,114,0%,16.25
https://www.indicadoreseconomicoshoje.com.br/ipa-m/index.html,0,107,0%,11.68
https://www.indicadoreseconomicoshoje.com.br/igp-di/index.html,0,94,0%,41.48
https://www.indicadoreseconomicoshoje.com.br/incc-m/index.html,0,92,0%,9.36
https://www.indicadoreseconomicoshoje.com.br/ipca/index.html,0,90,0%,29.07
https://indicadoreseconomicoshoje.com.br/inpc/,0,87,0%,38.77
https://indicadoreseconomicoshoje.com.br/comparar/inflacao-oficial/,0,54,0%,55.43
https://www.indicadoreseconomicoshoje.com.br/ipa-di/index.html,0,46,0%,9.74
https://indicadoreseconomicoshoje.com.br/incc-m/,0,37,0%,21.92
https://indicadoreseconomicoshoje.com.br/ipca/index.html,0,33,0%,14.45
https://indicadoreseconomicoshoje.com.br/inflacao/,0,31,0%,44.29
https://indicadoreseconomicoshoje.com.br/ipca-15/index.html,0,26,0%,9.35
https://www.indicadoreseconomicoshoje.com.br/igp-m/index.html,0,24,0%,23.58
https://indicadoreseconomicoshoje.com.br/igp-10/index.html,0,24,0%,34.29
https://www.indicadoreseconomicoshoje.com.br/ipc-m/index.html,0,19,0%,12.05
https://indicadoreseconomicoshoje.com.br/igp-di/,0,18,0%,46.17
https://www.indicadoreseconomicoshoje.com.br/ipa-10/index.html,0,16,0%,7.06
https://www.indicadoreseconomicoshoje.com.br/ipca-e/index.html,0,16,0%,28.62
https://indicadoreseconomicoshoje.com.br/sobre/,0,15,0%,10.47
https://indicadoreseconomicoshoje.com.br/construcao-civil/,0,15,0%,48.33
https://indicadoreseconomicoshoje.com.br/juros/,0,12,0%,6.42
https://www.indicadoreseconomicoshoje.com.br/ipc-di/index.html,0,9,0%,29.89
https://indicadoreseconomicoshoje.com.br/ipca-e/index.html,0,6,0%,27.33
https://indicadoreseconomicoshoje.com.br/ipc-di/index.html,0,6,0%,51.83
https://indicadoreseconomicoshoje.com.br/comparar/,0,5,0%,8.6
https://indicadoreseconomicoshoje.com.br/comparar/indices-fgv/,0,4,0%,43.5
https://indicadoreseconomicoshoje.com.br/ipc-m/index.html,0,3,0%,11.67
https://indicadoreseconomicoshoje.com.br/contato/,0,2,0%,7
https://indicadoreseconomicoshoje.com.br/ipc-s/index.html,0,2,0%,7.5
https://indicadoreseconomicoshoje.com.br/comparar/construcao-civil/,0,2,0%,10.5
https://www.indicadoreseconomicoshoje.com.br/igp-m/grafico-variacao-rentabilidade-igpm-igp-m-2020-mes-a-mes-mensal-acumulado.png,0,2,0%,15.5
https://indicadoreseconomicoshoje.com.br/correcao-monetaria/,0,1,0%,6
https://www.indicadoreseconomicoshoje.com.br/ipca-15/index.html,0,1,0%,11
https://www.indicadoreseconomicoshoje.com.br/incc-m/grafico-variacao-rentabilidade-inccm-incc-m-2021-mes-a-mes-mensal-acumulado.png,0,1,0%,17
https://www.indicadoreseconomicoshoje.com.br/ipca/variacao-2020-12-dezembro-ipca-2020-grafico-mensal-acumulado.png,0,1,0%,18
https://www.indicadoreseconomicoshoje.com.br/igp-m/grafico-variacao-rentabilidade-igpm-igp-m-2021-mes-a-mes-mensal-acumulado.png,0,1,0%,19
